subject	maze	path	times
S245664	hard/cathedral4.txt	p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(3,6);p(2,6);	1181;454;514;2056;294;1227;438;2112;324;314;3112;743;580;503;763;627;732;773;638;1121;
S245664	hard/tradeoff4.txt	p(6,0);p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(2,2);p(1,2);p(0,2);p(0,3);	3020;779;532;895;428;448;914;531;704;
S245664	hard/museum.txt	p(0,0);p(1,0);p(2,0);p(2,1);p(3,1);p(4,1);p(4,0);p(4,1);p(4,2);p(4,1);p(4,2);p(4,1);p(4,2);p(4,3);p(4,4);p(4,5);p(5,5);p(6,5);p(6,4);p(5,4);p(6,4);p(6,3);p(6,2);p(6,3);p(6,4);p(5,4);p(4,4);p(4,3);p(4,2);p(4,1);p(4,0);p(5,0);	1422;493;1434;1256;438;820;1512;352;258;1141;333;1240;692;705;1227;598;420;601;684;1827;504;428;1208;696;580;743;600;941;646;914;2186;
S245664	hard/tradeoff5.txt	p(5,0);p(4,0);p(3,0);p(3,1);p(3,2);p(2,2);p(1,2);p(1,1);p(2,1);p(3,1);p(3,2);p(2,2);p(1,2);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(4,4);p(5,4);p(6,4);p(6,3);p(6,4);p(6,3);p(7,3);p(6,3);p(7,3);p(6,3);p(7,3);p(6,3);p(6,4);p(5,4);p(6,4);p(5,4);p(4,4);p(5,4);p(5,3);	3285;550;542;599;1029;505;789;524;515;503;467;628;380;458;437;484;467;581;667;731;476;770;315;296;247;284;239;237;249;217;238;211;209;201;1559;1295;665;
S472742	easy/easy_cost24.txt	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(2,2);p(1,2);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(5,1);	19098;1131;865;1305;2102;704;772;3529;715;646;703;659;466;1425;914;971;2181;1054;
S472742	easy/library.txt	p(6,1);p(6,2);p(6,3);p(5,3);p(4,3);p(3,3);p(2,3);p(1,3);p(1,4);p(0,4);p(0,5);p(1,5);p(1,4);p(1,3);p(1,4);p(1,3);p(1,2);p(1,1);p(1,0);p(0,0);p(0,1);p(1,1);p(1,2);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(6,3);p(6,4);p(7,4);	5546;970;2247;856;1979;685;1056;2132;2246;1056;743;969;534;418;1867;2235;1513;1331;866;943;7975;781;2026;914;1789;590;904;798;2122;1894;
S472742	easy/easy_cost13.txt	p(2,1);p(2,2);p(1,2);p(1,3);p(1,4);	6481;1093;1796;971;
S472742	easy/easy_rw46.txt	p(3,1);p(3,0);p(3,1);p(3,2);p(2,2);p(1,2);p(1,3);	3401;1273;1171;1257;933;1350;
S472742	easy/easy_rw_24.txt	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);	4967;1665;1160;1466;1836;
S472742	easy/easy_cost35.txt	p(3,0);p(2,0);p(1,0);p(1,1);	11293;1066;1484;
S472742	easy/roomG.txt	p(3,4);p(3,3);p(3,2);p(2,2);p(1,2);p(0,2);p(0,3);p(1,3);p(1,2);p(1,1);p(1,0);p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(4,2);p(5,2);p(5,3);p(6,3);	14144;1569;2192;818;2198;684;1410;1570;846;694;952;2142;1722;904;2294;960;1456;1010;3358;1901;11535;1580;
S472742	easy/easy_rw_35.txt	p(5,0);p(4,0);p(3,0);p(2,0);p(1,0);p(0,0);p(0,1);p(0,2);p(0,3);p(0,2);p(0,1);p(0,0);p(1,0);p(2,0);p(3,0);p(4,0);p(5,0);p(6,0);p(6,1);p(6,2);p(6,3);p(6,4);p(5,4);p(4,4);	10174;1693;844;1191;1045;1572;904;952;2444;969;763;1200;1150;3409;1054;1247;2531;743;808;1219;1171;1950;1570;
S472742	medium/courtyard.txt	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(2,2);	8887;1048;1198;1913;1057;1625;
S472742	medium/tradeoff2.txt	p(1,2);p(0,2);p(1,2);p(1,1);p(1,0);p(2,0);	7294;1443;1064;544;3568;
S472742	medium/bunker_noscoring.txt	p(3,0);p(3,1);p(3,2);p(2,2);p(1,2);	3879;1179;1511;801;
S472742	medium/lab.txt	p(2,0);p(2,1);p(2,2);p(1,2);p(0,2);p(0,3);	6595;1152;1646;800;1464;
S472742	medium/thetube.txt	p(8,3);p(7,3);p(7,2);p(7,1);p(7,2);p(7,1);p(7,0);p(8,0);p(8,1);p(7,1);p(7,2);p(7,3);p(6,3);p(5,3);p(6,3);p(5,3);p(4,3);p(4,2);p(4,1);p(3,1);p(2,1);	4828;1790;694;342;1691;1017;666;896;3006;856;1495;1048;960;286;1551;1094;2057;1101;2277;1094;
S472742	medium/garden.txt	p(0,2);p(1,2);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(3,4);p(3,5);p(2,5);p(1,5);p(1,4);p(2,4);p(2,3);p(2,2);p(3,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);p(6,4);	2942;1360;2466;590;1295;893;1162;895;1949;1152;877;922;951;705;769;829;1161;342;1504;1311;1449;2281;1094;1580;
